日期,即期買入,即期賣出
2019/11/18,30.445,30.545
2019/11/19,30.452,30.552
2019/11/20,30.441,30.541
2019/11/21,30.47,30.57
2019/11/22,30.462,30.562
2019/11/25,30.449,30.549
2019/11/26,30.466,30.566
2019/11/27,30.459,30.559
2019/11/28,30.444,30.544
2019/11/29,30.454,30.554
2019/12/02,30.45,30.55
2019/12/03,30.451,30.551
2019/12/04,30.453,30.553
2019/12/05,30.444,30.544
2019/12/06,30.441,30.541
2019/12/09,30.444,30.544
2019/12/10,30.445,30.545
2019/12/11,30.445,30.545
2019/12/12,30.343,30.443
2019/12/13,30.257,30.357
2019/12/16,30.202,30.302
2019/12/17,30.148,30.248
2019/12/18,30.168,30.268
2019/12/19,30.149,30.249
2019/12/20,30.148,30.248
2019/12/23,30.154,30.254
2019/12/24,30.145,30.245
2019/12/25,30.06,30.16
2019/12/26,30.08,30.18
2019/12/27,30.144,30.244
2019/12/30,29.98,30.08
2019/12/31,29.96,30.06
2020/01/02,30.057,30.157
2020/01/03,29.98,30.08
2020/01/06,30.054,30.154
2020/01/07,30.024,30.124
2020/01/08,30.03,30.13
2020/01/09,29.947,30.047
2020/01/10,29.965,30.065
2020/01/13,29.897,29.997
2020/01/14,29.85,29.95
2020/01/15,29.86,29.96
2020/01/16,29.9,30.0
2020/01/17,29.904,30.004
2020/01/20,29.904,30.004
2020/01/21,29.942,30.042
2020/01/22,29.951,30.051
2020/01/30,30.221,30.321
2020/01/31,30.145,30.245
2020/02/03,30.24,30.34
2020/02/04,30.11,30.21
2020/02/05,30.06,30.16
2020/02/06,29.99,30.09
2020/02/07,30.069,30.169
2020/02/10,30.02,30.12
2020/02/11,30.007,30.107
2020/02/12,29.969,30.069
2020/02/13,29.95,30.05
2020/02/14,29.97,30.07
2020/02/15,29.994,30.094
2020/02/17,29.97,30.07
2020/02/18,30.067,30.167
2020/02/19,30.094,30.194
2020/02/20,30.196,30.296
2020/02/21,30.347,30.447
2020/02/24,30.413,30.513
2020/02/25,30.305,30.405
2020/02/26,30.32,30.42
2020/02/27,30.215,30.315
2020/03/02,30.063,30.163
2020/03/03,30.0,30.1
2020/03/04,29.982,30.082
2020/03/05,29.885,29.985
2020/03/06,29.95,30.05
2020/03/09,30.065,30.165
2020/03/10,29.981,30.081
2020/03/11,30.038,30.138
2020/03/12,30.06,30.16
2020/03/13,30.1,30.2
2020/03/16,30.13,30.23
2020/03/17,30.155,30.255
2020/03/18,30.216,30.316
2020/03/19,30.4,30.5
2020/03/20,30.18,30.28
2020/03/23,30.3,30.4
2020/03/24,30.258,30.358
2020/03/25,30.269,30.369
2020/03/26,30.247,30.347
2020/03/27,30.179,30.279
2020/03/30,30.191,30.291
2020/03/31,30.185,30.285
2020/04/01,30.205,30.305
2020/04/06,30.17,30.27
2020/04/07,30.065,30.165
2020/04/08,30.08,30.18
2020/04/09,30.045,30.145
2020/04/10,30.025,30.125
2020/04/13,30.035,30.135
2020/04/14,30.013,30.113
2020/04/15,29.979,30.079
2020/04/16,30.05,30.15
2020/04/17,30.03,30.13
2020/04/20,29.99,30.09
2020/04/21,30.01,30.11
2020/04/22,30.015,30.115
2020/04/23,30.016,30.116
2020/04/24,30.0,30.1
2020/04/27,29.965,30.065
