日期,淨值,漲跌,漲跌幅
2000-11-13,31.4,-1.32,-4.03423
2000-11-14,30.78,-0.62,-1.97452
2000-11-15,32.9,2.12,6.88759
2000-11-16,33.21,0.31,0.94225
2000-11-17,31.6,-1.61,-4.84794
2000-11-20,31.34,-0.26,-0.82278
2000-11-21,29.55,-1.79,-5.71155
2000-11-22,29.03,-0.52,-1.75973
2000-11-23,29.03,0,0
2000-11-24,27.71,-1.32,-4.54702
2000-11-27,29.32,1.61,5.81018
2000-11-28,28.81,-0.51,-1.73943
2000-11-29,27.25,-1.56,-5.41479
2000-11-30,26.63,-0.62,-2.27523
2000-12-01,25.94,-0.69,-2.59106
2000-12-04,27.19,1.25,4.81881
2000-12-05,26.98,-0.21,-0.77234
2000-12-06,30.23,3.25,12.04596
2000-12-07,29.75,-0.48,-1.58783
2000-12-08,29.54,-0.21,-0.70588
2000-12-11,31.39,1.85,6.26269
2000-12-12,32.18,0.79,2.51673
2000-12-13,31.05,-1.13,-3.5115
2000-12-14,29.73,-1.32,-4.25121
2000-12-15,28.66,-1.07,-3.59906
2000-12-18,28.53,-0.13,-0.45359
2000-12-19,27.82,-0.71,-2.48861
2000-12-20,26.43,-1.39,-4.99641
2000-12-21,24.42,-2.01,-7.60499
2000-12-22,24.21,-0.21,-0.85995
2000-12-25,24.21,0,0
2000-12-26,24.21,0,0
2000-12-27,25.98,1.77,7.31103
2000-12-28,26.63,0.65,2.50192
2000-12-29,26.99,0.36,1.35186
2001-01-01,26.99,0,0
2001-01-02,25.9,-1.09,-4.03853
2001-01-03,23.06,-2.84,-10.96525
2001-01-04,26.3,3.24,14.0503
2001-01-05,25.93,-0.37,-1.40684
2001-01-08,24.2,-1.73,-6.67181
2001-01-09,24.1,-0.1,-0.41322
2001-01-10,24.31,0.21,0.87137
2001-01-11,25.31,1,4.11353
2001-01-12,26.62,1.31,5.17582
2001-01-15,26.62,0,0
2001-01-16,26.56,-0.06,-0.22539
2001-01-17,26.25,-0.31,-1.16717
2001-01-18,27.37,1.12,4.26667
2001-01-19,28.38,1.01,3.69017
2001-01-22,28.48,0.1,0.35236
2001-01-23,28.2,-0.28,-0.98315
2001-01-24,29.13,0.93,3.29787
2001-01-25,29.06,-0.07,-0.2403
2001-01-26,27.71,-1.35,-4.64556
2001-01-29,27.98,0.27,0.97438
2001-01-30,28.47,0.49,1.75125
2001-01-31,28.4,-0.07,-0.24587
2001-02-01,27.45,-0.95,-3.34507
2001-02-02,27.6,0.15,0.54645
2001-02-05,26.29,-1.31,-4.74638
2001-02-06,26.15,-0.14,-0.53252
2001-02-07,25.93,-0.22,-0.8413
2001-02-08,25,-0.93,-3.58658
2001-02-09,24.48,-0.52,-2.08
2001-02-12,23.59,-0.89,-3.63562
2001-02-13,23.52,-0.07,-0.29674
2001-02-14,23.03,-0.49,-2.08333
2001-02-15,24.05,1.02,4.42901
2001-02-16,24.86,0.81,3.36798
2001-02-19,24.86,0,0
2001-02-20,23.13,-1.73,-6.95897
2001-02-21,21.76,-1.37,-5.92304
2001-02-22,21.31,-0.45,-2.06801
2001-02-23,21.03,-0.28,-1.31394
2001-02-26,21.27,0.24,1.14123
2001-02-27,21.49,0.22,1.03432
2001-02-28,20.24,-1.25,-5.81666
2001-03-01,19.75,-0.49,-2.42095
2001-03-02,20.04,0.29,1.46835
2001-03-05,19.42,-0.62,-3.09381
2001-03-06,19.52,0.1,0.51493
2001-03-07,20.32,0.8,4.09836
2001-03-08,20.53,0.21,1.03346
2001-03-09,19.98,-0.55,-2.67901
2001-03-12,18.87,-1.11,-5.55556
2001-03-13,17.9,-0.97,-5.14043
2001-03-14,18.74,0.84,4.69274
2001-03-15,18.46,-0.28,-1.49413
2001-03-16,17.9,-0.56,-3.03359
2001-03-19,17.33,-0.57,-3.18436
2001-03-20,18.14,0.81,4.67398
2001-03-21,17.2,-0.94,-5.18192
2001-03-22,17.14,-0.06,-0.34884
2001-03-23,17.86,0.72,4.2007
2001-03-26,18.23,0.37,2.07167
2001-03-27,17.92,-0.31,-1.70049
2001-03-28,18.25,0.33,1.84152
2001-03-29,16.93,-1.32,-7.23288
2001-03-30,16.53,-0.4,-2.36267
2001-04-02,16.49,-0.04,-0.24198
2001-04-03,16,-0.49,-2.9715
2001-04-04,15.1,-0.9,-5.625
2001-04-05,14.87,-0.23,-1.52318
2001-04-06,16.3,1.43,9.61668
2001-04-09,15.73,-0.57,-3.49693
2001-04-10,15.92,0.19,1.20788
2001-04-11,17.04,1.12,7.03518
2001-04-12,17.42,0.38,2.23005
2001-04-13,17.42,0,0
2001-04-16,17.42,0,0
2001-04-17,17.55,0.13,0.74627
2001-04-18,17.79,0.24,1.36752
2001-04-19,19.33,1.54,8.65655
2001-04-20,20.47,1.14,5.89757
2001-04-23,20.1,-0.37,-1.80752
2001-04-24,18.96,-1.14,-5.67164
2001-04-25,18.57,-0.39,-2.05696
2001-04-26,18.96,0.39,2.10016
2001-04-27,18.68,-0.28,-1.47679
2001-04-30,19.2,0.52,2.78373
2001-05-01,19.2,0,0
2001-05-02,20.04,0.84,4.375
2001-05-03,20.45,0.41,2.04591
2001-05-04,19.72,-0.73,-3.56968
2001-05-07,19.94,0.22,1.11562
2001-05-08,19.62,-0.32,-1.60481
2001-05-09,19.9,0.28,1.42712
2001-05-10,19.52,-0.38,-1.90955
2001-05-11,19.28,-0.24,-1.22951
2001-05-14,19.05,-0.23,-1.19295
2001-05-15,18.74,-0.31,-1.6273
2001-05-16,18.74,0,0
2001-05-17,19.65,0.91,4.85592
2001-05-18,20.05,0.4,2.03562
2001-05-21,20.06,0.01,0.04988
2001-05-22,21.3,1.24,6.18146
2001-05-23,21.14,-0.16,-0.75117
2001-05-24,21.14,0,0
2001-05-25,20.55,-0.59,-2.79092
2001-05-28,20.55,0,0
2001-05-29,20.26,-0.29,-1.41119
2001-05-30,19.34,-0.92,-4.54097
2001-05-31,18.36,-0.98,-5.06722
2001-06-01,18.6,0.24,1.30719
2001-06-04,18.6,0,0
2001-06-05,18.8,0.2,1.07527
2001-06-06,19.64,0.84,4.46809
2001-06-07,19.56,-0.08,-0.40733
2001-06-08,20.23,0.67,3.42536
2001-06-11,19.66,-0.57,-2.8176
2001-06-12,19.09,-0.57,-2.89929
2001-06-13,19.03,-0.06,-0.3143
2001-06-14,18.41,-0.62,-3.25801
2001-06-15,17.51,-0.9,-4.88865
2001-06-18,17.41,-0.1,-0.5711
2001-06-19,17.04,-0.37,-2.12522
2001-06-20,17.04,0,0
2001-06-21,17.25,0.21,1.23239
2001-06-22,17.5,0.25,1.44928
2001-06-25,17.28,-0.22,-1.25714
2001-06-26,17.41,0.13,0.75231
2001-06-27,17.47,0.06,0.34463
2001-06-28,17.56,0.09,0.51517
2001-06-29,17.98,0.42,2.3918
2001-07-02,18.28,0.3,1.66852
2001-07-03,18.37,0.09,0.49234
2001-07-04,18.37,0,0
2001-07-05,18.24,-0.13,-0.70768
2001-07-06,17.66,-0.58,-3.17982
2001-07-09,16.65,-1.01,-5.71914
2001-07-10,16.77,0.12,0.72072
2001-07-11,16.15,-0.62,-3.69708
2001-07-12,16.06,-0.09,-0.55728
2001-07-13,17.2,1.14,7.09838
2001-07-16,17.04,-0.16,-0.93023
2001-07-17,16.43,-0.61,-3.57981
2001-07-18,16.89,0.46,2.79976
2001-07-19,16,-0.89,-5.26939
2001-07-20,16.35,0.35,2.1875
2001-07-23,16.15,-0.2,-1.22324
2001-07-24,15.84,-0.31,-1.9195
2001-07-25,15.62,-0.22,-1.38889
2001-07-26,15.9,0.28,1.79257
2001-07-27,16.51,0.61,3.83648
2001-07-30,16.73,0.22,1.33253
2001-07-31,16.66,-0.07,-0.41841
2001-08-01,16.73,0.07,0.42017
2001-08-02,17.27,0.54,3.22773
2001-08-03,17.52,0.25,1.4476
2001-08-06,17.28,-0.24,-1.36986
